 beta-PtO2, orthorhombic, PDF# 43-1045          Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.303 Rnm= 1.388 L3 shell
 Pot 1 Z=78 Rmt= 1.307 Rnm= 1.400
 Pot 2 Z= 8 Rmt= 0.993 Rnm= 1.061
 Gam_ch=5.171E+00 H-L exch
 Mu= 6.451E+00 kf=2.428E+00 Vint=-1.600E+01 Rs_int= 1.494
 PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   86      icalc       2
 -----------------------------------------------------------------------
   3   8.000   5.4722    2.2502    6.45059 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     3.4391    3.8577   -1.5680  2   8 O
     2.2419    2.2692   -1.5680  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1322E+01  6.7684E-05 -1.4054E+01  1.058E+00  7.1667E+00  2.4316E+00
  0.100  1.1322E+01  4.7056E-02 -1.5131E+01  1.058E+00  7.1725E+00  2.4336E+00
  0.200  1.1319E+01  9.3797E-02 -1.6167E+01  1.058E+00  7.1896E+00  2.4395E+00
  0.300  1.1315E+01  1.3992E-01 -1.7165E+01  1.058E+00  7.2177E+00  2.4492E+00
  0.400  1.1310E+01  1.8516E-01 -1.8125E+01  1.058E+00  7.2559E+00  2.4628E+00
  0.500  1.1303E+01  2.2926E-01 -1.9048E+01  1.058E+00  7.3032E+00  2.4802E+00
  0.600  1.1294E+01  2.7202E-01 -1.9933E+01  1.058E+00  7.3583E+00  2.5012E+00
  0.700  1.1284E+01  3.1330E-01 -2.0783E+01  1.058E+00  7.4198E+00  2.5259E+00
  0.800  1.1272E+01  3.5299E-01 -2.1597E+01  1.058E+00  7.4857E+00  2.5542E+00
  0.900  1.1259E+01  3.9102E-01 -2.2377E+01  1.058E+00  7.5542E+00  2.5859E+00
  1.000  1.1244E+01  4.2737E-01 -2.3124E+01  1.058E+00  7.6233E+00  2.6209E+00
