 beta-PtO2, orthorhombic, PDF# 43-1045          Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.303 Rnm= 1.388 L3 shell
 Pot 1 Z=78 Rmt= 1.307 Rnm= 1.400
 Pot 2 Z= 8 Rmt= 0.993 Rnm= 1.061
 Gam_ch=5.171E+00 H-L exch
 Mu= 6.451E+00 kf=2.428E+00 Vint=-1.600E+01 Rs_int= 1.494
 PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  254      icalc       2
 -----------------------------------------------------------------------
   3   8.000   8.2149    2.2502    6.45059 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     7.9231   -0.6808    1.5680  2   8 O
     4.4839   -0.0000   -0.0000  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1322E+01  4.1386E-05 -1.3825E+01  1.058E+00  7.1667E+00  2.4316E+00
  0.100  1.1322E+01  2.8777E-02 -1.5439E+01  1.058E+00  7.1725E+00  2.4336E+00
  0.200  1.1319E+01  5.7382E-02 -1.6990E+01  1.058E+00  7.1896E+00  2.4395E+00
  0.300  1.1315E+01  8.5649E-02 -1.8481E+01  1.058E+00  7.2177E+00  2.4492E+00
  0.400  1.1310E+01  1.1343E-01 -1.9911E+01  1.058E+00  7.2559E+00  2.4628E+00
  0.500  1.1303E+01  1.4057E-01 -2.1282E+01  1.058E+00  7.3032E+00  2.4802E+00
  0.600  1.1294E+01  1.6697E-01 -2.2595E+01  1.058E+00  7.3583E+00  2.5012E+00
  0.700  1.1284E+01  1.9252E-01 -2.3851E+01  1.058E+00  7.4198E+00  2.5259E+00
  0.800  1.1272E+01  2.1714E-01 -2.5053E+01  1.058E+00  7.4857E+00  2.5542E+00
  0.900  1.1259E+01  2.4080E-01 -2.6200E+01  1.058E+00  7.5542E+00  2.5859E+00
  1.000  1.1244E+01  2.6345E-01 -2.7295E+01  1.058E+00  7.6233E+00  2.6209E+00
  1.100  1.1228E+01  2.8510E-01 -2.8340E+01  1.058E+00  7.6909E+00  2.6592E+00
  1.200  1.1210E+01  3.0576E-01 -2.9335E+01  1.058E+00  7.7548E+00  2.7007E+00
  1.300  1.1191E+01  3.2547E-01 -3.0283E+01  1.058E+00  7.8131E+00  2.7452E+00
  1.400  1.1171E+01  3.4427E-01 -3.1184E+01  1.058E+00  7.8641E+00  2.7927E+00
  1.500  1.1149E+01  3.6226E-01 -3.2039E+01  1.059E+00  7.9062E+00  2.8432E+00
  1.600  1.1126E+01  3.7950E-01 -3.2850E+01  1.059E+00  7.9384E+00  2.8965E+00
  1.700  1.1102E+01  3.9609E-01 -3.3618E+01  1.060E+00  7.9600E+00  2.9526E+00
  1.800  1.1076E+01  4.1211E-01 -3.4342E+01  1.061E+00  7.9709E+00  3.0114E+00
  1.900  1.1050E+01  4.2765E-01 -3.5023E+01  1.062E+00  7.9716E+00  3.0730E+00
  2.000  1.1022E+01  4.4273E-01 -3.5661E+01  1.063E+00  7.9632E+00  3.1372E+00
  2.200  1.0962E+01  4.7137E-01 -3.6807E+01  1.065E+00  7.9270E+00  3.2739E+00
  2.400  1.0897E+01  4.9676E-01 -3.7775E+01  1.068E+00  7.8851E+00  3.4216E+00
  2.600  1.0827E+01  5.1569E-01 -3.8551E+01  1.071E+00  7.8709E+00  3.5810E+00
  2.800  1.0719E+01  5.1418E-01 -3.8950E+01  1.050E+00  7.9369E+00  3.7653E+00
  3.000  1.0642E+01  5.9366E-01 -3.9646E+01  1.159E+00  5.5712E+00  3.9305E+00
  3.200  1.0627E+01  6.3136E-01 -4.0723E+01  1.193E+00  5.0010E+00  4.0649E+00
  3.400  1.0612E+01  6.4602E-01 -4.1741E+01  1.215E+00  4.7179E+00  4.2021E+00
  3.600  1.0583E+01  6.4051E-01 -4.2639E+01  1.225E+00  4.5795E+00  4.3474E+00
  3.800  1.0546E+01  6.1753E-01 -4.3458E+01  1.228E+00  4.5261E+00  4.4976E+00
  4.000  1.0504E+01  5.8529E-01 -4.4212E+01  1.227E+00  4.5274E+00  4.6524E+00
  4.200  1.0454E+01  5.4552E-01 -4.4906E+01  1.222E+00  4.5668E+00  4.8112E+00
  4.400  1.0399E+01  5.0252E-01 -4.5547E+01  1.215E+00  4.6345E+00  4.9738E+00
  4.600  1.0338E+01  4.5850E-01 -4.6140E+01  1.206E+00  4.7241E+00  5.1398E+00
  4.800  1.0273E+01  4.1535E-01 -4.6690E+01  1.195E+00  4.8314E+00  5.3087E+00
  5.000  1.0205E+01  3.7428E-01 -4.7201E+01  1.184E+00  4.9534E+00  5.4804E+00
  5.200  1.0133E+01  3.3549E-01 -4.7677E+01  1.173E+00  5.0878E+00  5.6545E+00
  5.400  1.0059E+01  2.9960E-01 -4.8122E+01  1.160E+00  5.2329E+00  5.8308E+00
  5.600  9.9847E+00  2.6663E-01 -4.8537E+01  1.149E+00  5.3874E+00  6.0090E+00
  5.800  9.9092E+00  2.3658E-01 -4.8926E+01  1.137E+00  5.5503E+00  6.1891E+00
  6.000  9.8339E+00  2.0935E-01 -4.9292E+01  1.126E+00  5.7208E+00  6.3707E+00
  6.500  9.6453E+00  1.5217E-01 -5.0113E+01  1.100E+00  6.1759E+00  6.8306E+00
  7.000  9.4548E+00  1.0811E-01 -5.0832E+01  1.075E+00  6.6662E+00  7.2976E+00
  7.500  9.2596E+00  7.5357E-02 -5.1493E+01  1.051E+00  7.1864E+00  7.7699E+00
  8.000  9.0610E+00  5.2214E-02 -5.2125E+01  1.029E+00  7.7328E+00  8.2465E+00
  8.500  8.8626E+00  3.6531E-02 -5.2736E+01  1.011E+00  8.3023E+00  8.7266E+00
  9.000  8.6691E+00  2.5807E-02 -5.3346E+01  9.968E-01  8.8930E+00  9.2094E+00
  9.500  8.4809E+00  1.8631E-02 -5.3962E+01  9.853E-01  9.5029E+00  9.6945E+00
 10.000  8.2972E+00  1.4226E-02 -5.4605E+01  9.764E-01  1.0131E+01  1.0181E+01
 11.000  7.9407E+00  1.1584E-02 -5.5837E+01  9.624E-01  1.1436E+01  1.1160E+01
 12.000  7.6048E+00  1.1729E-02 -5.6721E+01  9.528E-01  1.2800E+01  1.2143E+01
 13.000  7.2894E+00  1.1455E-02 -5.7351E+01  9.470E-01  1.4219E+01  1.3128E+01
 14.000  6.9897E+00  1.1129E-02 -5.7818E+01  9.429E-01  1.5686E+01  1.4117E+01
 15.000  6.7087E+00  1.1091E-02 -5.8167E+01  9.402E-01  1.7199E+01  1.5107E+01
 16.000  6.4436E+00  1.1019E-02 -5.8452E+01  9.384E-01  1.8754E+01  1.6099E+01
 17.000  6.1929E+00  1.0913E-02 -5.8730E+01  9.356E-01  2.0349E+01  1.7092E+01
 18.000  5.9541E+00  1.0697E-02 -5.9016E+01  9.332E-01  2.1980E+01  1.8086E+01
 19.000  5.7253E+00  1.0112E-02 -5.9298E+01  9.316E-01  2.3647E+01  1.9080E+01
 20.000  5.5075E+00  9.4074E-03 -5.9573E+01  9.306E-01  2.5346E+01  2.0075E+01
