 beta-PtO2, orthorhombic, PDF# 43-1045          Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.303 Rnm= 1.388 L3 shell
 Pot 1 Z=78 Rmt= 1.307 Rnm= 1.400
 Pot 2 Z= 8 Rmt= 0.993 Rnm= 1.061
 Gam_ch=5.171E+00 H-L exch
 Mu= 6.451E+00 kf=2.428E+00 Vint=-1.600E+01 Rs_int= 1.494
 PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  277      icalc       2
 -----------------------------------------------------------------------
   3   8.000   8.9692    2.2502    6.45059 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -4.4839   -4.5385   -6.2720  1  78 Pt
    -1.0447   -0.6808   -1.5680  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1322E+01  5.6858E-05 -1.3849E+01  1.058E+00  7.1667E+00  2.4316E+00
  0.100  1.1322E+01  3.9492E-02 -1.5611E+01  1.058E+00  7.1725E+00  2.4336E+00
  0.200  1.1319E+01  7.8494E-02 -1.7303E+01  1.058E+00  7.1896E+00  2.4395E+00
  0.300  1.1315E+01  1.1654E-01 -1.8926E+01  1.058E+00  7.2177E+00  2.4492E+00
  0.400  1.1310E+01  1.5320E-01 -2.0483E+01  1.058E+00  7.2559E+00  2.4628E+00
  0.500  1.1303E+01  1.8809E-01 -2.1974E+01  1.058E+00  7.3032E+00  2.4802E+00
  0.600  1.1294E+01  2.2091E-01 -2.3400E+01  1.058E+00  7.3583E+00  2.5012E+00
  0.700  1.1284E+01  2.5141E-01 -2.4762E+01  1.058E+00  7.4198E+00  2.5259E+00
  0.800  1.1272E+01  2.7941E-01 -2.6062E+01  1.058E+00  7.4857E+00  2.5542E+00
  0.900  1.1259E+01  3.0480E-01 -2.7301E+01  1.058E+00  7.5542E+00  2.5859E+00
  1.000  1.1244E+01  3.2752E-01 -2.8481E+01  1.058E+00  7.6233E+00  2.6209E+00
  1.100  1.1228E+01  3.4757E-01 -2.9602E+01  1.058E+00  7.6909E+00  2.6592E+00
  1.200  1.1210E+01  3.6496E-01 -3.0667E+01  1.058E+00  7.7548E+00  2.7007E+00
  1.300  1.1191E+01  3.7974E-01 -3.1677E+01  1.058E+00  7.8131E+00  2.7452E+00
  1.400  1.1171E+01  3.9196E-01 -3.2631E+01  1.058E+00  7.8641E+00  2.7927E+00
  1.500  1.1149E+01  4.0166E-01 -3.3531E+01  1.059E+00  7.9062E+00  2.8432E+00
  1.600  1.1126E+01  4.0893E-01 -3.4378E+01  1.059E+00  7.9384E+00  2.8965E+00
  1.700  1.1102E+01  4.1379E-01 -3.5172E+01  1.060E+00  7.9600E+00  2.9526E+00
  1.800  1.1076E+01  4.1631E-01 -3.5912E+01  1.061E+00  7.9709E+00  3.0114E+00
  1.900  1.1050E+01  4.1652E-01 -3.6598E+01  1.062E+00  7.9716E+00  3.0730E+00
  2.000  1.1022E+01  4.1448E-01 -3.7231E+01  1.063E+00  7.9632E+00  3.1372E+00
  2.200  1.0962E+01  4.0407E-01 -3.8332E+01  1.065E+00  7.9270E+00  3.2739E+00
  2.400  1.0897E+01  3.8638E-01 -3.9208E+01  1.068E+00  7.8851E+00  3.4216E+00
  2.600  1.0827E+01  3.6370E-01 -3.9848E+01  1.071E+00  7.8709E+00  3.5810E+00
  2.800  1.0719E+01  3.2403E-01 -4.0047E+01  1.050E+00  7.9369E+00  3.7653E+00
  3.000  1.0642E+01  3.4800E-01 -4.0644E+01  1.159E+00  5.5712E+00  3.9305E+00
  3.200  1.0627E+01  3.6697E-01 -4.1639E+01  1.193E+00  5.0010E+00  4.0649E+00
  3.400  1.0612E+01  3.7762E-01 -4.2576E+01  1.215E+00  4.7179E+00  4.2021E+00
  3.600  1.0583E+01  3.7712E-01 -4.3391E+01  1.225E+00  4.5795E+00  4.3474E+00
  3.800  1.0546E+01  3.6159E-01 -4.4136E+01  1.228E+00  4.5261E+00  4.4976E+00
  4.000  1.0504E+01  3.3676E-01 -4.4826E+01  1.227E+00  4.5274E+00  4.6524E+00
  4.200  1.0454E+01  2.9819E-01 -4.5466E+01  1.222E+00  4.5668E+00  4.8112E+00
  4.400  1.0399E+01  2.5389E-01 -4.6068E+01  1.215E+00  4.6345E+00  4.9738E+00
  4.600  1.0338E+01  2.0443E-01 -4.6650E+01  1.206E+00  4.7241E+00  5.1398E+00
  4.800  1.0273E+01  1.5427E-01 -4.7237E+01  1.195E+00  4.8314E+00  5.3087E+00
  5.000  1.0205E+01  1.0757E-01 -4.7887E+01  1.184E+00  4.9534E+00  5.4804E+00
  5.200  1.0133E+01  7.3820E-02 -4.8774E+01  1.173E+00  5.0878E+00  5.6545E+00
  5.400  1.0059E+01  7.1146E-02 -4.9894E+01  1.160E+00  5.2329E+00  5.8308E+00
  5.600  9.9847E+00  1.0069E-01 -5.0733E+01  1.149E+00  5.3874E+00  6.0090E+00
  5.800  9.9092E+00  1.4104E-01 -5.1279E+01  1.137E+00  5.5503E+00  6.1891E+00
