PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      166     0.00000     5.697     8.000     3   6.3244
      167     0.00000    13.083     4.000     2   6.3799
      169     0.00000     4.657     4.000     3   6.3852
      170     0.00000     3.200     4.000     3   6.3927
      171     0.00000    11.118     4.000     3   6.3927
      172     0.00000     9.953     4.000     3   6.3927
      173     0.00000     3.297     2.000     2   6.4014
      174     0.00000     5.537     4.000     3   6.4031
      175     0.00000     5.843     4.000     4   6.4056
      176     0.00000     4.834     2.000     4   6.4056
      177     0.00000     8.121     4.000     4   6.4056
      178     0.00000     3.865     2.000     4   6.4056
      179     0.00000     4.787     8.000     3   6.4117
      180     0.00000     3.267     4.000     4   6.4261
      181     0.00000     7.649     4.000     4   6.4260
      182     0.00000     6.434     4.000     2   6.4442
      183     0.00000     6.133     8.000     4   6.4722
      184     0.00000     8.673     8.000     3   6.4897
      185     0.00000     3.599     4.000     4   6.5353
      186     0.00000     3.488     8.000     4   6.5602
      188     0.00000     3.794     8.000     4   6.5709
      189     0.00000     4.420     8.000     4   6.5709
      190     0.00000     5.954     4.000     2   6.5799
      192     0.00000     7.116     8.000     3   6.5912
      193     0.00000     4.771     8.000     4   6.6367
      194     0.00000     5.624     4.000     2   6.6808
      195     0.00000     8.099     8.000     3   6.7019
      197     0.00000     6.976     8.000     3   6.7147
      198     0.00000     4.650     8.000     3   6.7147
      200     0.00000     4.195    16.000     3   6.7445
      202     0.00000     4.841     8.000     3   6.8005
      203     0.00000     3.742     8.000     3   6.8098
      204     0.00000     8.428     8.000     4   6.8159
      206     0.00000     4.657     8.000     4   6.8372
      209     0.00000     3.171     8.000     4   6.8526
      210     0.00000     4.750     8.000     4   6.8699
      211     0.00000     4.970     8.000     4   6.8699
      212     0.00000     4.918     4.000     2   6.9215
      213     0.00000     2.978     8.000     4   6.9462
      214     0.00000     3.367     4.000     3   6.9695
      215     0.00000     4.745     4.000     2   6.9862
      216     0.00000     4.740     4.000     2   6.9884
      217     0.00000     6.258     8.000     3   7.0210
      218     0.00000     4.225     8.000     3   7.0228
      219     0.00000     6.391     8.000     3   7.0287
      220     0.00000     4.623     4.000     2   7.0338
      221     0.00000     5.457     8.000     3   7.0632
      222     0.00000     4.451     4.000     2   7.1035
      223     0.00000    18.471     8.000     2   7.1090
      224     0.00000     6.180     8.000     3   7.1090
      225     0.00000    69.545    16.000     3   7.1090
      226     0.00000    10.277     8.000     4   7.1090
      228     0.00000    68.411     8.000     4   7.1090
      229     0.00000     3.079     8.000     3   7.1102
      230     0.00000     4.391     4.000     2   7.1283
      231     0.00000     5.303     8.000     3   7.1282
      232     0.00000     4.066     8.000     3   7.1311
      233     0.00000     2.805     8.000     4   7.1435
      235     0.00000     4.994     8.000     3   7.1674
      236     0.00000     3.433     8.000     4   7.1686
      237     0.00000     3.053     8.000     3   7.1699
      239     0.00000     2.895     8.000     3   7.2566
      240     0.00000     2.959     8.000     3   7.2566
      241     0.00000     4.833     8.000     4   7.2566
      242     0.00000     4.889     8.000     4   7.2566
      243     0.00000     4.096     4.000     2   7.2570
      244     0.00000     2.878     8.000     3   7.2574
      245     0.00000     2.962     8.000     3   7.2573
      246     0.00000     4.805     8.000     4   7.2574
      247     0.00000     4.897     8.000     4   7.2573
      248     0.00000     5.087     8.000     3   7.2617
      249     0.00000     2.930     8.000     3   7.2632
      250     0.00000    17.156     8.000     2   7.2695
      251     0.00000     6.432     8.000     3   7.2749
      252     0.00000     4.022     4.000     2   7.2909
      253     0.00000     3.447     8.000     3   7.3117
      257     0.00000     4.803     8.000     4   7.3280
      258     0.00000     4.807     8.000     4   7.3280
      259     0.00000    16.637     8.000     2   7.3369
      260     0.00000     3.612     8.000     3   7.3802
      261     0.00000     3.571     8.000     3   7.3802
      263     0.00000     3.618     8.000     3   7.3830
      264     0.00000     7.267     8.000     3   7.3830
      265     0.00000     5.546     8.000     3   7.4069
      266     0.00000     5.256     8.000     3   7.4069
      267     0.00000     3.963     8.000     3   7.4375
      268     0.00000     3.422     8.000     3   7.4375
      269     0.00000     3.015     8.000     3   7.4720
      271     0.00000     3.340     8.000     4   7.4751
      272     0.00000     4.169     4.000     4   7.4751
      274     0.00000     4.446     8.000     4   7.5691
      275     0.00000     3.366     4.000     2   7.6274
      278     0.00000     3.291     4.000     2   7.6709
      279     0.00000     3.127     8.000     3   7.6790
      280     0.00000    12.815     8.000     3   7.6790
      281     0.00000     5.201     8.000     4   7.6870
      282     0.00000    12.768     4.000     4   7.6870
      283     0.00000     3.975     8.000     3   7.6957
      284     0.00000     2.762     8.000     4   7.6957
      285     0.00000    11.026     8.000     4   7.6957
      286     0.00000     7.925     8.000     4   7.7037
      287     0.00000     7.039     4.000     2   7.7100
      290     0.00000     4.382     8.000     3   7.7376
      291     0.00000     6.941     4.000     2   7.7418
      292     0.00000     3.137     4.000     2   7.7631
      293     0.00000     4.367     8.000     3   7.7901
      294     0.00000     3.523     8.000     3   7.7901
      295     0.00000     3.041     4.000     2   7.8228
      296     0.00000     3.483     8.000     3   7.8289
      297     0.00000     4.207     8.000     3   7.8670
      298     0.00000     4.168     8.000     4   7.9003
      299     0.00000     4.158     8.000     3   7.9231
      300     0.00000     6.808     8.000     3   7.9705
      301     0.00000     3.403     8.000     3   7.9705
      302     0.00000     4.418     4.000     4   8.0025
      303     0.00000     3.900     8.000     4   8.0025
      305     0.00000     5.188     8.000     4   8.1070
      306     0.00000     3.599     8.000     4   8.1389
      307     0.00000     3.415     8.000     3   8.2149
      308     0.00000     3.949     8.000     3   8.2937
      309     0.00000     4.484     4.000     3   8.3623
      310     0.00000     3.612     4.000     4   8.3690
      311     0.00000     4.466     2.000     4   8.3690
      312     0.00000     3.690     4.000     4   8.3751
      313     0.00000    10.191     8.000     2   8.4641
      314     0.00000     9.975     8.000     2   8.5155
      315     0.00000     3.561     8.000     3   8.5221
      316     0.00000     3.409     8.000     3   8.5221
      317     0.00000     4.094     8.000     3   8.5237
      318     0.00000     3.285     8.000     3   8.5237
      319     0.00000     9.740     8.000     2   8.5732
      320     0.00000     3.065     8.000     3   8.5843
      321     0.00000     2.946     8.000     3   8.5843
      322     0.00000     2.810     8.000     3   8.5998
      325     0.00000     4.200    16.000     3   8.6419
      326     0.00000     3.941    16.000     3   8.6419
      330     0.00000     4.441     8.000     3   8.9400
      331     0.00000     8.366     8.000     2   8.9466
      332     0.00000     4.405     8.000     3   8.9558
      333     0.00000     6.924     4.000     3   8.9678
      334     0.00000     6.121     2.000     4   8.9678
      335     0.00000     5.551     8.000     3   8.9692
      336     0.00000     4.951     8.000     3   8.9692
      337     0.00000     3.151     8.000     4   8.9918
      338     0.00000     5.065     8.000     4   9.0114
      339     0.00000     5.033     8.000     4   9.0265
      340     0.00000     4.070     8.000     4   9.0267
      341     0.00000     4.041     8.000     4   9.0417
      342     0.00000     6.588     4.000     3   9.0770
      343     0.00000     5.786     2.000     4   9.0770
      344     0.00000     4.557    16.000     3   9.0923
      345     0.00000     4.357    16.000     3   9.0923
      346     0.00000     3.882     8.000     3   9.3937
      347     0.00000     6.286     4.000     3   9.4080
      348     0.00000     5.674     4.000     3   9.4080
      349     0.00000    10.780     4.000     4   9.4080
      350     0.00000     5.901     2.000     4   9.4080
      351     0.00000    10.861     4.000     4   9.4080
      352     0.00000     4.810     2.000     4   9.4080
      353     0.00000     3.371     8.000     4   9.4104
      354     0.00000     3.363     4.000     2   9.5003
      355     0.00000     3.233     4.000     2   9.6035
      356     0.00000     6.237     8.000     2   9.6975
      357     0.00000     3.799     8.000     3   9.7248
      358     0.00000     3.355     8.000     3   9.7248
      359     0.00000     3.928    16.000     3   9.8159
      360     0.00000     3.820    16.000     3   9.8159
