 beta-PtO2, orthorhombic, PDF# 43-1045          Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.303 Rnm= 1.388 L3 shell
 Pot 1 Z=78 Rmt= 1.307 Rnm= 1.400
 Pot 2 Z= 8 Rmt= 0.993 Rnm= 1.061
 Gam_ch=5.171E+00 H-L exch
 Mu= 6.451E+00 kf=2.428E+00 Vint=-1.600E+01 Rs_int= 1.494
 PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  122      icalc       2
 -----------------------------------------------------------------------
   3   8.000   6.0607    2.2502    6.45059 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     5.5287    0.6808   -1.5680  2   8 O
     3.4391   -0.6808   -1.5680  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1322E+01  2.6935E-05 -1.2461E+01  1.058E+00  7.1667E+00  2.4316E+00
  0.100  1.1322E+01  1.8707E-02 -1.3653E+01  1.058E+00  7.1725E+00  2.4336E+00
  0.200  1.1319E+01  3.7177E-02 -1.4797E+01  1.058E+00  7.1896E+00  2.4395E+00
  0.300  1.1315E+01  5.5179E-02 -1.5897E+01  1.058E+00  7.2177E+00  2.4492E+00
  0.400  1.1310E+01  7.2502E-02 -1.6952E+01  1.058E+00  7.2559E+00  2.4628E+00
  0.500  1.1303E+01  8.8957E-02 -1.7964E+01  1.058E+00  7.3032E+00  2.4802E+00
  0.600  1.1294E+01  1.0438E-01 -1.8934E+01  1.058E+00  7.3583E+00  2.5012E+00
  0.700  1.1284E+01  1.1866E-01 -1.9861E+01  1.058E+00  7.4198E+00  2.5259E+00
  0.800  1.1272E+01  1.3167E-01 -2.0748E+01  1.058E+00  7.4857E+00  2.5542E+00
  0.900  1.1259E+01  1.4338E-01 -2.1595E+01  1.058E+00  7.5542E+00  2.5859E+00
  1.000  1.1244E+01  1.5373E-01 -2.2404E+01  1.058E+00  7.6233E+00  2.6209E+00
  1.100  1.1228E+01  1.6272E-01 -2.3175E+01  1.058E+00  7.6909E+00  2.6592E+00
  1.200  1.1210E+01  1.7037E-01 -2.3910E+01  1.058E+00  7.7548E+00  2.7007E+00
  1.300  1.1191E+01  1.7671E-01 -2.4609E+01  1.058E+00  7.8131E+00  2.7452E+00
  1.400  1.1171E+01  1.8178E-01 -2.5274E+01  1.058E+00  7.8641E+00  2.7927E+00
  1.500  1.1149E+01  1.8563E-01 -2.5905E+01  1.059E+00  7.9062E+00  2.8432E+00
  1.600  1.1126E+01  1.8834E-01 -2.6503E+01  1.059E+00  7.9384E+00  2.8965E+00
  1.700  1.1102E+01  1.8997E-01 -2.7068E+01  1.060E+00  7.9600E+00  2.9526E+00
  1.800  1.1076E+01  1.9059E-01 -2.7602E+01  1.061E+00  7.9709E+00  3.0114E+00
  1.900  1.1050E+01  1.9026E-01 -2.8104E+01  1.062E+00  7.9716E+00  3.0730E+00
  2.000  1.1022E+01  1.8906E-01 -2.8574E+01  1.063E+00  7.9632E+00  3.1372E+00
  2.200  1.0962E+01  1.8424E-01 -2.9421E+01  1.065E+00  7.9270E+00  3.2739E+00
  2.400  1.0897E+01  1.7658E-01 -3.0139E+01  1.068E+00  7.8851E+00  3.4216E+00
  2.600  1.0827E+01  1.6623E-01 -3.0718E+01  1.071E+00  7.8709E+00  3.5810E+00
  2.800  1.0719E+01  1.5111E-01 -3.1025E+01  1.050E+00  7.9369E+00  3.7653E+00
  3.000  1.0642E+01  1.5344E-01 -3.1565E+01  1.159E+00  5.5712E+00  3.9305E+00
  3.200  1.0627E+01  1.4911E-01 -3.2389E+01  1.193E+00  5.0010E+00  4.0649E+00
  3.400  1.0612E+01  1.4209E-01 -3.3165E+01  1.215E+00  4.7179E+00  4.2021E+00
  3.600  1.0583E+01  1.3290E-01 -3.3845E+01  1.225E+00  4.5795E+00  4.3474E+00
  3.800  1.0546E+01  1.2230E-01 -3.4456E+01  1.228E+00  4.5261E+00  4.4976E+00
  4.000  1.0504E+01  1.1094E-01 -3.5010E+01  1.227E+00  4.5274E+00  4.6524E+00
  4.200  1.0454E+01  9.9285E-02 -3.5512E+01  1.222E+00  4.5668E+00  4.8112E+00
  4.400  1.0399E+01  8.7697E-02 -3.5966E+01  1.215E+00  4.6345E+00  4.9738E+00
  4.600  1.0338E+01  7.6594E-02 -3.6379E+01  1.206E+00  4.7241E+00  5.1398E+00
  4.800  1.0273E+01  6.6267E-02 -3.6755E+01  1.195E+00  4.8314E+00  5.3087E+00
  5.000  1.0205E+01  5.6866E-02 -3.7097E+01  1.184E+00  4.9534E+00  5.4804E+00
  5.200  1.0133E+01  4.8457E-02 -3.7408E+01  1.173E+00  5.0878E+00  5.6545E+00
  5.400  1.0059E+01  4.1052E-02 -3.7690E+01  1.160E+00  5.2329E+00  5.8308E+00
  5.600  9.9847E+00  3.4606E-02 -3.7945E+01  1.149E+00  5.3874E+00  6.0090E+00
  5.800  9.9092E+00  2.9112E-02 -3.8174E+01  1.137E+00  5.5503E+00  6.1891E+00
  6.000  9.8339E+00  2.4517E-02 -3.8378E+01  1.126E+00  5.7208E+00  6.3707E+00
  6.500  9.6453E+00  1.6359E-02 -3.8768E+01  1.100E+00  6.1759E+00  6.8306E+00
  7.000  9.4548E+00  1.1818E-02 -3.8993E+01  1.075E+00  6.6662E+00  7.2976E+00
  7.500  9.2596E+00  9.7209E-03 -3.9124E+01  1.051E+00  7.1864E+00  7.7699E+00
  8.000  9.0610E+00  8.9760E-03 -3.9267E+01  1.029E+00  7.7328E+00  8.2465E+00
  8.500  8.8626E+00  8.6902E-03 -3.9473E+01  1.011E+00  8.3023E+00  8.7266E+00
  9.000  8.6691E+00  8.4393E-03 -3.9726E+01  9.968E-01  8.8930E+00  9.2094E+00
  9.500  8.4809E+00  8.1007E-03 -3.9997E+01  9.853E-01  9.5029E+00  9.6945E+00
 10.000  8.2972E+00  7.6771E-03 -4.0266E+01  9.764E-01  1.0131E+01  1.0181E+01
 11.000  7.9407E+00  6.7079E-03 -4.0768E+01  9.624E-01  1.1436E+01  1.1160E+01
 12.000  7.6048E+00  5.6852E-03 -4.1236E+01  9.528E-01  1.2800E+01  1.2143E+01
 13.000  7.2894E+00  4.6629E-03 -4.1679E+01  9.470E-01  1.4219E+01  1.3128E+01
 14.000  6.9897E+00  3.6992E-03 -4.2095E+01  9.429E-01  1.5686E+01  1.4117E+01
 15.000  6.7087E+00  2.9053E-03 -4.2491E+01  9.402E-01  1.7199E+01  1.5107E+01
 16.000  6.4436E+00  2.2234E-03 -4.2874E+01  9.384E-01  1.8754E+01  1.6099E+01
 17.000  6.1929E+00  1.5888E-03 -4.3251E+01  9.356E-01  2.0349E+01  1.7092E+01
 18.000  5.9541E+00  1.0655E-03 -4.3608E+01  9.332E-01  2.1980E+01  1.8086E+01
 19.000  5.7253E+00  6.8644E-04 -4.3921E+01  9.316E-01  2.3647E+01  1.9080E+01
 20.000  5.5075E+00  4.0126E-04 -4.4265E+01  9.306E-01  2.5346E+01  2.0075E+01
