 beta-PtO2, orthorhombic, PDF# 43-1045          Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.303 Rnm= 1.388 L3 shell
 Pot 1 Z=78 Rmt= 1.307 Rnm= 1.400
 Pot 2 Z= 8 Rmt= 0.993 Rnm= 1.061
 Gam_ch=5.171E+00 H-L exch
 Mu= 6.451E+00 kf=2.428E+00 Vint=-1.600E+01 Rs_int= 1.494
 PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  106      icalc       2
 -----------------------------------------------------------------------
   3   8.000   5.7062    2.2502    6.45059 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -3.2867    2.9500    3.1360  2   8 O
    -1.1972    1.5885   -0.0000  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1322E+01  2.0932E-05 -1.4421E+01  1.058E+00  7.1667E+00  2.4316E+00
  0.100  1.1322E+01  1.4535E-02 -1.5543E+01  1.058E+00  7.1725E+00  2.4336E+00
  0.200  1.1319E+01  2.8863E-02 -1.6622E+01  1.058E+00  7.1896E+00  2.4395E+00
  0.300  1.1315E+01  4.2787E-02 -1.7659E+01  1.058E+00  7.2177E+00  2.4492E+00
  0.400  1.1310E+01  5.6123E-02 -1.8655E+01  1.058E+00  7.2559E+00  2.4628E+00
  0.500  1.1303E+01  6.8710E-02 -1.9611E+01  1.058E+00  7.3032E+00  2.4802E+00
  0.600  1.1294E+01  8.0411E-02 -2.0527E+01  1.058E+00  7.3583E+00  2.5012E+00
  0.700  1.1284E+01  9.1117E-02 -2.1405E+01  1.058E+00  7.4198E+00  2.5259E+00
  0.800  1.1272E+01  1.0075E-01 -2.2245E+01  1.058E+00  7.4857E+00  2.5542E+00
  0.900  1.1259E+01  1.0926E-01 -2.3048E+01  1.058E+00  7.5542E+00  2.5859E+00
  1.000  1.1244E+01  1.1662E-01 -2.3816E+01  1.058E+00  7.6233E+00  2.6209E+00
  1.100  1.1228E+01  1.2284E-01 -2.4550E+01  1.058E+00  7.6909E+00  2.6592E+00
  1.200  1.1210E+01  1.2794E-01 -2.5251E+01  1.058E+00  7.7548E+00  2.7007E+00
  1.300  1.1191E+01  1.3195E-01 -2.5919E+01  1.058E+00  7.8131E+00  2.7452E+00
  1.400  1.1171E+01  1.3493E-01 -2.6555E+01  1.058E+00  7.8641E+00  2.7927E+00
  1.500  1.1149E+01  1.3694E-01 -2.7161E+01  1.059E+00  7.9062E+00  2.8432E+00
  1.600  1.1126E+01  1.3806E-01 -2.7737E+01  1.059E+00  7.9384E+00  2.8965E+00
  1.700  1.1102E+01  1.3836E-01 -2.8284E+01  1.060E+00  7.9600E+00  2.9526E+00
  1.800  1.1076E+01  1.3791E-01 -2.8802E+01  1.061E+00  7.9709E+00  3.0114E+00
  1.900  1.1050E+01  1.3680E-01 -2.9292E+01  1.062E+00  7.9716E+00  3.0730E+00
  2.000  1.1022E+01  1.3510E-01 -2.9753E+01  1.063E+00  7.9632E+00  3.1372E+00
  2.200  1.0962E+01  1.3022E-01 -3.0590E+01  1.065E+00  7.9270E+00  3.2739E+00
  2.400  1.0897E+01  1.2368E-01 -3.1310E+01  1.068E+00  7.8851E+00  3.4216E+00
  2.600  1.0827E+01  1.1566E-01 -3.1905E+01  1.071E+00  7.8709E+00  3.5810E+00
  2.800  1.0719E+01  1.0541E-01 -3.2229E+01  1.050E+00  7.9369E+00  3.7653E+00
  3.000  1.0642E+01  1.0299E-01 -3.2816E+01  1.159E+00  5.5712E+00  3.9305E+00
  3.200  1.0627E+01  1.0231E-01 -3.3675E+01  1.193E+00  5.0010E+00  4.0649E+00
  3.400  1.0612E+01  1.0115E-01 -3.4477E+01  1.215E+00  4.7179E+00  4.2021E+00
  3.600  1.0583E+01  9.8191E-02 -3.5172E+01  1.225E+00  4.5795E+00  4.3474E+00
  3.800  1.0546E+01  9.3229E-02 -3.5793E+01  1.228E+00  4.5261E+00  4.4976E+00
  4.000  1.0504E+01  8.6718E-02 -3.6358E+01  1.227E+00  4.5274E+00  4.6524E+00
  4.200  1.0454E+01  7.9218E-02 -3.6875E+01  1.222E+00  4.5668E+00  4.8112E+00
  4.400  1.0399E+01  7.0986E-02 -3.7352E+01  1.215E+00  4.6345E+00  4.9738E+00
  4.600  1.0338E+01  6.2640E-02 -3.7797E+01  1.206E+00  4.7241E+00  5.1398E+00
  4.800  1.0273E+01  5.4607E-02 -3.8214E+01  1.195E+00  4.8314E+00  5.3087E+00
  5.000  1.0205E+01  4.7071E-02 -3.8608E+01  1.184E+00  4.9534E+00  5.4804E+00
  5.200  1.0133E+01  4.0173E-02 -3.8984E+01  1.173E+00  5.0878E+00  5.6545E+00
  5.400  1.0059E+01  3.3985E-02 -3.9344E+01  1.160E+00  5.2329E+00  5.8308E+00
  5.600  9.9847E+00  2.8519E-02 -3.9692E+01  1.149E+00  5.3874E+00  6.0090E+00
  5.800  9.9092E+00  2.3782E-02 -4.0032E+01  1.137E+00  5.5503E+00  6.1891E+00
  6.000  9.8339E+00  1.9740E-02 -4.0368E+01  1.126E+00  5.7208E+00  6.3707E+00
  6.500  9.6453E+00  1.2208E-02 -4.1198E+01  1.100E+00  6.1759E+00  6.8306E+00
