 beta-PtO2, orthorhombic, PDF# 43-1045          Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.303 Rnm= 1.388 L3 shell
 Pot 1 Z=78 Rmt= 1.307 Rnm= 1.400
 Pot 2 Z= 8 Rmt= 0.993 Rnm= 1.061
 Gam_ch=5.171E+00 H-L exch
 Mu= 6.451E+00 kf=2.428E+00 Vint=-1.600E+01 Rs_int= 1.494
 PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  119      icalc       2
 -----------------------------------------------------------------------
   2   2.000   5.8990    2.2502    6.45059 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -5.6811    1.5885   -0.0000  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1322E+01  5.6283E-05 -9.0273E+00  1.058E+00  7.1667E+00  2.4316E+00
  0.100  1.1322E+01  3.9136E-02 -1.0186E+01  1.058E+00  7.1725E+00  2.4336E+00
  0.200  1.1319E+01  7.8049E-02 -1.1298E+01  1.058E+00  7.1896E+00  2.4395E+00
  0.300  1.1315E+01  1.1652E-01 -1.2364E+01  1.058E+00  7.2177E+00  2.4492E+00
  0.400  1.1310E+01  1.5435E-01 -1.3386E+01  1.058E+00  7.2559E+00  2.4628E+00
  0.500  1.1303E+01  1.9135E-01 -1.4365E+01  1.058E+00  7.3032E+00  2.4802E+00
  0.600  1.1294E+01  2.2735E-01 -1.5300E+01  1.058E+00  7.3583E+00  2.5012E+00
  0.700  1.1284E+01  2.6220E-01 -1.6193E+01  1.058E+00  7.4198E+00  2.5259E+00
  0.800  1.1272E+01  2.9578E-01 -1.7045E+01  1.058E+00  7.4857E+00  2.5542E+00
  0.900  1.1259E+01  3.2799E-01 -1.7857E+01  1.058E+00  7.5542E+00  2.5859E+00
  1.000  1.1244E+01  3.5876E-01 -1.8630E+01  1.058E+00  7.6233E+00  2.6209E+00
  1.100  1.1228E+01  3.8801E-01 -1.9365E+01  1.058E+00  7.6909E+00  2.6592E+00
  1.200  1.1210E+01  4.1571E-01 -2.0063E+01  1.058E+00  7.7548E+00  2.7007E+00
  1.300  1.1191E+01  4.4180E-01 -2.0726E+01  1.058E+00  7.8131E+00  2.7452E+00
  1.400  1.1171E+01  4.6627E-01 -2.1353E+01  1.058E+00  7.8641E+00  2.7927E+00
  1.500  1.1149E+01  4.8908E-01 -2.1947E+01  1.059E+00  7.9062E+00  2.8432E+00
  1.600  1.1126E+01  5.1019E-01 -2.2507E+01  1.059E+00  7.9384E+00  2.8965E+00
  1.700  1.1102E+01  5.2956E-01 -2.3034E+01  1.060E+00  7.9600E+00  2.9526E+00
  1.800  1.1076E+01  5.4715E-01 -2.3529E+01  1.061E+00  7.9709E+00  3.0114E+00
  1.900  1.1050E+01  5.6289E-01 -2.3992E+01  1.062E+00  7.9716E+00  3.0730E+00
  2.000  1.1022E+01  5.7670E-01 -2.4424E+01  1.063E+00  7.9632E+00  3.1372E+00
  2.200  1.0962E+01  5.9816E-01 -2.5192E+01  1.065E+00  7.9270E+00  3.2739E+00
  2.400  1.0897E+01  6.1063E-01 -2.5832E+01  1.068E+00  7.8851E+00  3.4216E+00
  2.600  1.0827E+01  6.1300E-01 -2.6337E+01  1.071E+00  7.8709E+00  3.5810E+00
  2.800  1.0719E+01  5.9236E-01 -2.6575E+01  1.050E+00  7.9369E+00  3.7653E+00
  3.000  1.0642E+01  6.4122E-01 -2.7046E+01  1.159E+00  5.5712E+00  3.9305E+00
  3.200  1.0627E+01  6.5780E-01 -2.7787E+01  1.193E+00  5.0010E+00  4.0649E+00
  3.400  1.0612E+01  6.5811E-01 -2.8487E+01  1.215E+00  4.7179E+00  4.2021E+00
  3.600  1.0583E+01  6.4380E-01 -2.9104E+01  1.225E+00  4.5795E+00  4.3474E+00
  3.800  1.0546E+01  6.1916E-01 -2.9665E+01  1.228E+00  4.5261E+00  4.4976E+00
  4.000  1.0504E+01  5.8827E-01 -3.0181E+01  1.227E+00  4.5274E+00  4.6524E+00
  4.200  1.0454E+01  5.5396E-01 -3.0656E+01  1.222E+00  4.5668E+00  4.8112E+00
  4.400  1.0399E+01  5.1737E-01 -3.1096E+01  1.215E+00  4.6345E+00  4.9738E+00
  4.600  1.0338E+01  4.8100E-01 -3.1504E+01  1.206E+00  4.7241E+00  5.1398E+00
  4.800  1.0273E+01  4.4614E-01 -3.1883E+01  1.195E+00  4.8314E+00  5.3087E+00
  5.000  1.0205E+01  4.1341E-01 -3.2237E+01  1.184E+00  4.9534E+00  5.4804E+00
  5.200  1.0133E+01  3.8312E-01 -3.2568E+01  1.173E+00  5.0878E+00  5.6545E+00
  5.400  1.0059E+01  3.5528E-01 -3.2876E+01  1.160E+00  5.2329E+00  5.8308E+00
  5.600  9.9847E+00  3.2963E-01 -3.3164E+01  1.149E+00  5.3874E+00  6.0090E+00
  5.800  9.9092E+00  3.0611E-01 -3.3433E+01  1.137E+00  5.5503E+00  6.1891E+00
  6.000  9.8339E+00  2.8462E-01 -3.3686E+01  1.126E+00  5.7208E+00  6.3707E+00
  6.500  9.6453E+00  2.3806E-01 -3.4250E+01  1.100E+00  6.1759E+00  6.8306E+00
  7.000  9.4548E+00  1.9986E-01 -3.4736E+01  1.075E+00  6.6662E+00  7.2976E+00
  7.500  9.2596E+00  1.6940E-01 -3.5172E+01  1.051E+00  7.1864E+00  7.7699E+00
  8.000  9.0610E+00  1.4644E-01 -3.5566E+01  1.029E+00  7.7328E+00  8.2465E+00
  8.500  8.8626E+00  1.2877E-01 -3.5919E+01  1.011E+00  8.3023E+00  8.7266E+00
  9.000  8.6691E+00  1.1410E-01 -3.6228E+01  9.968E-01  8.8930E+00  9.2094E+00
  9.500  8.4809E+00  1.0089E-01 -3.6497E+01  9.853E-01  9.5029E+00  9.6945E+00
 10.000  8.2972E+00  8.9043E-02 -3.6742E+01  9.764E-01  1.0131E+01  1.0181E+01
 11.000  7.9407E+00  7.1516E-02 -3.7195E+01  9.624E-01  1.1436E+01  1.1160E+01
 12.000  7.6048E+00  5.9898E-02 -3.7583E+01  9.528E-01  1.2800E+01  1.2143E+01
 13.000  7.2894E+00  4.9437E-02 -3.7899E+01  9.470E-01  1.4219E+01  1.3128E+01
 14.000  6.9897E+00  4.1997E-02 -3.8172E+01  9.429E-01  1.5686E+01  1.4117E+01
 15.000  6.7087E+00  3.7891E-02 -3.8374E+01  9.402E-01  1.7199E+01  1.5107E+01
 16.000  6.4436E+00  3.4641E-02 -3.8495E+01  9.384E-01  1.8754E+01  1.6099E+01
 17.000  6.1929E+00  3.2868E-02 -3.8576E+01  9.356E-01  2.0349E+01  1.7092E+01
 18.000  5.9541E+00  3.2431E-02 -3.8649E+01  9.332E-01  2.1980E+01  1.8086E+01
 19.000  5.7253E+00  3.1511E-02 -3.8715E+01  9.316E-01  2.3647E+01  1.9080E+01
 20.000  5.5075E+00  3.0649E-02 -3.8775E+01  9.306E-01  2.5346E+01  2.0075E+01
