 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
    167    13.083     4.000     2   6.3799
    168     2.425     4.000     3   6.3852 neglected
    169     4.657     4.000     3   6.3852
    170     3.200     4.000     3   6.3927
    171    11.118     4.000     3   6.3927
    172     9.953     4.000     3   6.3927
    173     3.297     2.000     2   6.4014
    174     5.537     4.000     3   6.4031
    175     5.843     4.000     4   6.4056
    176     4.834     2.000     4   6.4056
    177     8.121     4.000     4   6.4056
    178     3.865     2.000     4   6.4056
    179     4.787     8.000     3   6.4117
    180     3.267     4.000     4   6.4261
    181     7.649     4.000     4   6.4260
    182     6.434     4.000     2   6.4442
    183     6.133     8.000     4   6.4722
    184     8.673     8.000     3   6.4897
    185     3.599     4.000     4   6.5353
    186     3.488     8.000     4   6.5602
    187     1.868     8.000     3   6.5709 neglected
    188     3.794     8.000     4   6.5709
    189     4.420     8.000     4   6.5709
    190     5.954     4.000     2   6.5799
    191     2.286     8.000     3   6.5912 neglected
    192     7.116     8.000     3   6.5912
    193     4.771     8.000     4   6.6367
    194     5.624     4.000     2   6.6808
    195     8.099     8.000     3   6.7019
    196     2.191     8.000     3   6.7147 neglected
    197     6.976     8.000     3   6.7147
    198     4.650     8.000     3   6.7147
    199     1.099     8.000     4   6.7382 neglected
    200     4.195    16.000     3   6.7445
    201     2.576     8.000     3   6.7459 neglected
    202     4.841     8.000     3   6.8005
    203     3.742     8.000     3   6.8098
    204     8.428     8.000     4   6.8159
    205     2.106     8.000     4   6.8159 neglected
    206     4.657     8.000     4   6.8372
    207     1.036     8.000     4   6.8496 neglected
    208     2.623     4.000     4   6.8496 neglected
    209     3.171     8.000     4   6.8526
    210     4.750     8.000     4   6.8699
    211     4.970     8.000     4   6.8699
    212     4.918     4.000     2   6.9215
    213     2.978     8.000     4   6.9462
    214     3.367     4.000     3   6.9695
    215     4.745     4.000     2   6.9862
    216     4.740     4.000     2   6.9884
    217     6.258     8.000     3   7.0210
    218     4.225     8.000     3   7.0228
    219     6.391     8.000     3   7.0287
    220     4.623     4.000     2   7.0338
    221     5.457     8.000     3   7.0632
    222     4.451     4.000     2   7.1035
    223    18.471     8.000     2   7.1090
    224     6.180     8.000     3   7.1090
    225    69.545    16.000     3   7.1090
