 beta-PtO2, orthorhombic, PDF# 43-1045          Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.303 Rnm= 1.388 L3 shell
 Pot 1 Z=78 Rmt= 1.307 Rnm= 1.400
 Pot 2 Z= 8 Rmt= 0.993 Rnm= 1.061
 Gam_ch=5.171E+00 H-L exch
 Mu= 6.451E+00 kf=2.428E+00 Vint=-1.600E+01 Rs_int= 1.494
 PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  190      icalc       2
 -----------------------------------------------------------------------
   2   4.000   7.1283    2.2502    6.45059 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -5.6811   -2.9500   -3.1360  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1322E+01  5.6411E-05 -9.4374E+00  1.058E+00  7.1667E+00  2.4316E+00
  0.100  1.1322E+01  3.9227E-02 -1.0837E+01  1.058E+00  7.1725E+00  2.4336E+00
  0.200  1.1319E+01  7.8239E-02 -1.2180E+01  1.058E+00  7.1896E+00  2.4395E+00
  0.300  1.1315E+01  1.1683E-01 -1.3468E+01  1.058E+00  7.2177E+00  2.4492E+00
  0.400  1.1310E+01  1.5479E-01 -1.4702E+01  1.058E+00  7.2559E+00  2.4628E+00
  0.500  1.1303E+01  1.9195E-01 -1.5882E+01  1.058E+00  7.3032E+00  2.4802E+00
  0.600  1.1294E+01  2.2815E-01 -1.7011E+01  1.058E+00  7.3583E+00  2.5012E+00
  0.700  1.1284E+01  2.6323E-01 -1.8088E+01  1.058E+00  7.4198E+00  2.5259E+00
  0.800  1.1272E+01  2.9707E-01 -1.9115E+01  1.058E+00  7.4857E+00  2.5542E+00
  0.900  1.1259E+01  3.2958E-01 -2.0093E+01  1.058E+00  7.5542E+00  2.5859E+00
  1.000  1.1244E+01  3.6067E-01 -2.1024E+01  1.058E+00  7.6233E+00  2.6209E+00
  1.100  1.1228E+01  3.9029E-01 -2.1909E+01  1.058E+00  7.6909E+00  2.6592E+00
  1.200  1.1210E+01  4.1836E-01 -2.2750E+01  1.058E+00  7.7548E+00  2.7007E+00
  1.300  1.1191E+01  4.4486E-01 -2.3547E+01  1.058E+00  7.8131E+00  2.7452E+00
  1.400  1.1171E+01  4.6974E-01 -2.4302E+01  1.058E+00  7.8641E+00  2.7927E+00
  1.500  1.1149E+01  4.9298E-01 -2.5016E+01  1.059E+00  7.9062E+00  2.8432E+00
  1.600  1.1126E+01  5.1451E-01 -2.5689E+01  1.059E+00  7.9384E+00  2.8965E+00
  1.700  1.1102E+01  5.3431E-01 -2.6322E+01  1.060E+00  7.9600E+00  2.9526E+00
  1.800  1.1076E+01  5.5232E-01 -2.6916E+01  1.061E+00  7.9709E+00  3.0114E+00
  1.900  1.1050E+01  5.6846E-01 -2.7472E+01  1.062E+00  7.9716E+00  3.0730E+00
  2.000  1.1022E+01  5.8265E-01 -2.7989E+01  1.063E+00  7.9632E+00  3.1372E+00
  2.200  1.0962E+01  6.0477E-01 -2.8909E+01  1.065E+00  7.9270E+00  3.2739E+00
