PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   2.000  index, nleg, degeneracy, r=  1.9891
    1.197200   -1.588480    0.000000   2 'O     '     1.9891  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     1.9891    0.0000    0.0000
    19    4   2.000  index, nleg, degeneracy, r=  3.9782
      x           y           z     ipot  label      rleg      beta        eta
   -1.197200    1.588480    0.000000   2 'O     '     1.9891  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     1.9891  180.0000    0.0000
   -1.197200    1.588480    0.000000   2 'O     '     1.9891  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     1.9891  180.0000    0.0000
    20    4   4.000  index, nleg, degeneracy, r=  3.9925
      x           y           z     ipot  label      rleg      beta        eta
    1.197200   -1.588480    0.000000   2 'O     '     1.9891   54.1800    0.0000
    2.241950   -2.269250   -1.568000   1 'Pt    '     2.0034  180.0000    0.0000
    1.197200   -1.588480    0.000000   2 'O     '     2.0034   54.1800    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     1.9891  180.0000    0.0000
    21    4   4.000  index, nleg, degeneracy, r=  3.9925
      x           y           z     ipot  label      rleg      beta        eta
    1.044750    0.680780   -1.568000   2 'O     '     2.0034   54.1797    0.0000
    2.241950    2.269250   -1.568000   1 'Pt    '     1.9891  180.0000    0.0000
    1.044750    0.680780   -1.568000   2 'O     '     1.9891   54.1797    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034  180.0000    0.0000
    22    4   8.000  index, nleg, degeneracy, r=  3.9925
      x           y           z     ipot  label      rleg      beta        eta
   -1.044750   -0.680780   -1.568000   2 'O     '     2.0034  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034   87.5641    0.0000
    1.197200   -1.588480    0.000000   2 'O     '     1.9891  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     1.9891   87.5641    0.0000
    23    4   8.000  index, nleg, degeneracy, r=  3.9925
      x           y           z     ipot  label      rleg      beta        eta
    1.044750    0.680780    1.568000   2 'O     '     2.0034  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034   92.4359    0.0000
    1.197200   -1.588480    0.000000   2 'O     '     1.9891  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     1.9891   92.4359    0.0000
    24    3   4.000  index, nleg, degeneracy, r=  4.0068
      x           y           z     ipot  label      rleg      beta        eta
   -1.044750   -0.680780   -1.568000   2 'O     '     2.0034  180.0000    0.0000
    1.044750    0.680780    1.568000   2 'O     '     4.0068  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034    0.0000    0.0000
    25    4   4.000  index, nleg, degeneracy, r=  4.0068
      x           y           z     ipot  label      rleg      beta        eta
    1.044750    0.680780    1.568000   2 'O     '     2.0034  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034    0.0000    0.0000
   -1.044750   -0.680780   -1.568000   2 'O     '     2.0034  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034    0.0000    0.0000
    26    4   4.000  index, nleg, degeneracy, r=  4.0068
      x           y           z     ipot  label      rleg      beta        eta
    1.044750    0.680780   -1.568000   2 'O     '     2.0034  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034  180.0000    0.0000
    1.044750    0.680780   -1.568000   2 'O     '     2.0034  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034  180.0000    0.0000
    27    4   4.000  index, nleg, degeneracy, r=  4.0068
      x           y           z     ipot  label      rleg      beta        eta
   -1.044750   -0.680780   -1.568000   2 'O     '     2.0034   76.9883    0.0000
    0.000000    0.000000   -3.136000   1 'Pt    '     2.0034  180.0000    0.0000
   -1.044750   -0.680780   -1.568000   2 'O     '     2.0034   76.9883    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034  180.0000    0.0000
    28    4   4.000  index, nleg, degeneracy, r=  4.0068
      x           y           z     ipot  label      rleg      beta        eta
    1.044750    0.680780    1.568000   2 'O     '     2.0034  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034  103.0117    0.0000
   -1.044750   -0.680780    1.568000   2 'O     '     2.0034  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034  103.0117    0.0000
    29    3   8.000  index, nleg, degeneracy, r=  4.2398
      x           y           z     ipot  label      rleg      beta        eta
   -1.197200    1.588480    3.136000   2 'O     '     3.7136  148.0463    0.0000
   -1.044750   -0.680780    1.568000   2 'O     '     2.7625   78.8204    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034  133.1333    0.0000
    30    3   8.000  index, nleg, degeneracy, r=  4.2682
      x           y           z     ipot  label      rleg      beta        eta
   -3.286700   -1.588480    0.000000   2 'O     '     3.6504  146.8566    0.0000
   -1.044750   -0.680780    1.568000   2 'O     '     2.8825   85.0170    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034  128.1263    0.0000
    31    2   4.000  index, nleg, degeneracy, r=  4.2933
      x           y           z     ipot  label      rleg      beta        eta
   -1.044750    3.857720    1.568000   2 'O     '     4.2933  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     4.2933  180.0000    0.0000
    32    3   8.000  index, nleg, degeneracy, r=  4.2992
      x           y           z     ipot  label      rleg      beta        eta
   -3.439150    0.680780    1.568000   2 'O     '     3.8406  150.0030    0.0000
   -1.044750   -0.680780    1.568000   2 'O     '     2.7545   73.4203    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034  136.5767    0.0000
    33    3   8.000  index, nleg, degeneracy, r=  4.2998
      x           y           z     ipot  label      rleg      beta        eta
    1.197200   -1.588480    3.136000   2 'O     '     3.7136  147.6499    0.0000
   -1.044750   -0.680780    1.568000   2 'O     '     2.8825   82.6948    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.0034  129.6553    0.0000
    34    3   8.000  index, nleg, degeneracy, r=  4.3561
