 Structure from AMCSD, AMS_ID: 11157            Feff8L (EXAFS)       0.1
 Mineral Name: Platinum
 Journal: Crystal Structures 1, pp. 7-83 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Cubic closest packed, ccp, structure
 Formula:    Pt
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    9      icalc       2
 -----------------------------------------------------------------------
   3  12.000   5.5481    2.8630   -0.26592 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     1.9616   -1.9616   -0.0000  1  78 Pt
    -1.9616    1.9616   -0.0000  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1498E+01  1.2147E-05 -1.3692E+01  1.048E+00  6.0192E+00  2.0423E+00
  0.100  1.1497E+01  4.9631E-02 -1.4778E+01  1.048E+00  6.0260E+00  2.0446E+00
  0.200  1.1495E+01  9.7886E-02 -1.5815E+01  1.049E+00  6.0464E+00  2.0516E+00
  0.300  1.1491E+01  1.4351E-01 -1.6806E+01  1.050E+00  6.0796E+00  2.0632E+00
  0.400  1.1486E+01  1.8545E-01 -1.7750E+01  1.051E+00  6.1247E+00  2.0793E+00
  0.500  1.1479E+01  2.2291E-01 -1.8650E+01  1.053E+00  6.1803E+00  2.0998E+00
  0.600  1.1470E+01  2.5548E-01 -1.9505E+01  1.054E+00  6.2445E+00  2.1247E+00
  0.700  1.1460E+01  2.8296E-01 -2.0319E+01  1.056E+00  6.3154E+00  2.1538E+00
  0.800  1.1447E+01  3.0540E-01 -2.1091E+01  1.058E+00  6.3907E+00  2.1869E+00
  0.900  1.1433E+01  3.2303E-01 -2.1824E+01  1.060E+00  6.4679E+00  2.2240E+00
  1.000  1.1417E+01  3.3617E-01 -2.2517E+01  1.062E+00  6.5446E+00  2.2649E+00
  1.100  1.1399E+01  3.4520E-01 -2.3172E+01  1.064E+00  6.6182E+00  2.3095E+00
  1.200  1.1379E+01  3.5046E-01 -2.3787E+01  1.066E+00  6.6864E+00  2.3576E+00
  1.300  1.1357E+01  3.5226E-01 -2.4364E+01  1.067E+00  6.7472E+00  2.4092E+00
  1.400  1.1333E+01  3.5082E-01 -2.4901E+01  1.069E+00  6.7991E+00  2.4642E+00
  1.500  1.1307E+01  3.4634E-01 -2.5397E+01  1.071E+00  6.8409E+00  2.5224E+00
  1.600  1.1279E+01  3.3899E-01 -2.5850E+01  1.073E+00  6.8725E+00  2.5840E+00
  1.700  1.1250E+01  3.2891E-01 -2.6258E+01  1.074E+00  6.8944E+00  2.6488E+00
  1.800  1.1218E+01  3.1632E-01 -2.6619E+01  1.076E+00  6.9081E+00  2.7168E+00
  1.900  1.1184E+01  3.0154E-01 -2.6930E+01  1.078E+00  6.9161E+00  2.7881E+00
  2.000  1.1148E+01  2.8505E-01 -2.7187E+01  1.080E+00  6.9222E+00  2.8628E+00
  2.200  1.1069E+01  2.4953E-01 -2.7524E+01  1.083E+00  6.9487E+00  3.0227E+00
  2.400  1.0957E+01  2.0120E-01 -2.7516E+01  1.064E+00  7.0521E+00  3.2091E+00
  2.600  1.0856E+01  2.2459E-01 -2.7599E+01  1.179E+00  5.1070E+00  3.3854E+00
  2.800  1.0848E+01  2.3523E-01 -2.7830E+01  1.218E+00  4.5840E+00  3.5188E+00
  3.000  1.0839E+01  2.5038E-01 -2.8016E+01  1.240E+00  4.3387E+00  3.6557E+00
  3.200  1.0816E+01  2.6005E-01 -2.8167E+01  1.246E+00  4.2378E+00  3.8014E+00
  3.400  1.0786E+01  2.5826E-01 -2.8328E+01  1.245E+00  4.2187E+00  3.9527E+00
  3.600  1.0749E+01  2.4653E-01 -2.8506E+01  1.240E+00  4.2519E+00  4.1092E+00
  3.800  1.0705E+01  2.1793E-01 -2.8700E+01  1.229E+00  4.3217E+00  4.2702E+00
  4.000  1.0655E+01  1.8463E-01 -2.8917E+01  1.219E+00  4.4189E+00  4.4353E+00
  4.200  1.0597E+01  1.4468E-01 -2.9153E+01  1.206E+00  4.5375E+00  4.6040E+00
  4.400  1.0534E+01  1.0754E-01 -2.9416E+01  1.192E+00  4.6734E+00  4.7760E+00
  4.600  1.0466E+01  7.4551E-02 -2.9726E+01  1.179E+00  4.8238E+00  4.9508E+00
  4.800  1.0394E+01  4.8409E-02 -3.0124E+01  1.165E+00  4.9866E+00  5.1281E+00
  5.000  1.0318E+01  2.9237E-02 -3.0682E+01  1.152E+00  5.1602E+00  5.3076E+00
  5.200  1.0240E+01  1.9706E-02 -3.1542E+01  1.139E+00  5.3432E+00  5.4891E+00
  5.400  1.0161E+01  1.9526E-02 -3.2576E+01  1.126E+00  5.5348E+00  5.6723E+00
  5.600  1.0080E+01  2.7094E-02 -3.3353E+01  1.115E+00  5.7341E+00  5.8570E+00
  5.800  9.9998E+00  3.9366E-02 -3.3876E+01  1.103E+00  5.9404E+00  6.0431E+00
  6.000  9.9192E+00  5.5209E-02 -3.4237E+01  1.092E+00  6.1532E+00  6.2304E+00
  6.500  9.7174E+00  9.9711E-02 -3.4744E+01  1.065E+00  6.7104E+00  6.7030E+00
  7.000  9.5139E+00  1.3240E-01 -3.4985E+01  1.039E+00  7.2996E+00  7.1808E+00
