 Structure from AMCSD, AMS_ID: 11157            Feff8L (EXAFS)       0.1
 Mineral Name: Platinum
 Journal: Crystal Structures 1, pp. 7-83 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Cubic closest packed, ccp, structure
 Formula:    Pt
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   25      icalc       2
 -----------------------------------------------------------------------
   2   8.000   6.7950    2.8630   -0.26592 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -3.9231    3.9231   -3.9231  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  1.700  1.1250E+01  6.7202E-01 -2.8059E+01  1.074E+00  6.8944E+00  2.6488E+00
  1.800  1.1218E+01  6.7941E-01 -2.8489E+01  1.076E+00  6.9081E+00  2.7168E+00
  1.900  1.1184E+01  6.8209E-01 -2.8870E+01  1.078E+00  6.9161E+00  2.7881E+00
  2.000  1.1148E+01  6.7984E-01 -2.9202E+01  1.080E+00  6.9222E+00  2.8628E+00
  2.200  1.1069E+01  6.6012E-01 -2.9703E+01  1.083E+00  6.9487E+00  3.0227E+00
  2.400  1.0957E+01  5.9956E-01 -2.9832E+01  1.064E+00  7.0521E+00  3.2091E+00
  2.600  1.0856E+01  6.1929E-01 -3.0118E+01  1.179E+00  5.1070E+00  3.3854E+00
  2.800  1.0848E+01  6.1910E-01 -3.0810E+01  1.218E+00  4.5840E+00  3.5188E+00
  3.000  1.0839E+01  6.1005E-01 -3.1411E+01  1.240E+00  4.3387E+00  3.6557E+00
  3.200  1.0816E+01  5.9276E-01 -3.1890E+01  1.246E+00  4.2378E+00  3.8014E+00
  3.400  1.0786E+01  5.7350E-01 -3.2300E+01  1.245E+00  4.2187E+00  3.9527E+00
  3.600  1.0749E+01  5.5354E-01 -3.2668E+01  1.240E+00  4.2519E+00  4.1092E+00
  3.800  1.0705E+01  5.2233E-01 -3.3005E+01  1.229E+00  4.3217E+00  4.2702E+00
  4.000  1.0655E+01  4.8601E-01 -3.3323E+01  1.219E+00  4.4189E+00  4.4353E+00
  4.200  1.0597E+01  4.3578E-01 -3.3622E+01  1.206E+00  4.5375E+00  4.6040E+00
  4.400  1.0534E+01  3.8014E-01 -3.3908E+01  1.192E+00  4.6734E+00  4.7760E+00
  4.600  1.0466E+01  3.1809E-01 -3.4189E+01  1.179E+00  4.8238E+00  4.9508E+00
