 Structure from AMCSD, AMS_ID: 11157            Feff8L (EXAFS)       0.1
 Mineral Name: Platinum
 Journal: Crystal Structures 1, pp. 7-83 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Cubic closest packed, ccp, structure
 Formula:    Pt
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  48.000   4.1611    2.8630   -0.26592 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     1.9616   -0.0000   -1.9616  1  78 Pt
     1.9616    1.9616   -0.0000  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  2.200  1.1069E+01  1.0637E-01 -1.8487E+01  1.083E+00  6.9487E+00  3.0227E+00
  2.400  1.0957E+01  1.0315E-01 -1.8664E+01  1.064E+00  7.0521E+00  3.2091E+00
  2.600  1.0856E+01  1.3243E-01 -1.8920E+01  1.179E+00  5.1070E+00  3.3854E+00
  2.800  1.0848E+01  1.4235E-01 -1.9258E+01  1.218E+00  4.5840E+00  3.5188E+00
  3.000  1.0839E+01  1.4463E-01 -1.9578E+01  1.240E+00  4.3387E+00  3.6557E+00
  3.200  1.0816E+01  1.3755E-01 -1.9874E+01  1.246E+00  4.2378E+00  3.8014E+00
  3.400  1.0786E+01  1.2437E-01 -2.0165E+01  1.245E+00  4.2187E+00  3.9527E+00
  3.600  1.0749E+01  1.0816E-01 -2.0448E+01  1.240E+00  4.2519E+00  4.1092E+00
  3.800  1.0705E+01  8.9109E-02 -2.0721E+01  1.229E+00  4.3217E+00  4.2702E+00
  4.000  1.0655E+01  7.0491E-02 -2.0975E+01  1.219E+00  4.4189E+00  4.4353E+00
  4.200  1.0597E+01  5.1997E-02 -2.1210E+01  1.206E+00  4.5375E+00  4.6040E+00
