 Structure from AMCSD, AMS_ID: 11157            Feff8L (EXAFS)       0.1
 Mineral Name: Platinum
 Journal: Crystal Structures 1, pp. 7-83 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Cubic closest packed, ccp, structure
 Formula:    Pt
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   22      icalc       2
 -----------------------------------------------------------------------
   3  96.000   6.5635    2.8630   -0.26592 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     3.9231   -3.9231   -0.0000  1  78 Pt
     3.9231   -1.9616    1.9616  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1498E+01  1.0825E-06 -1.4114E+01  1.048E+00  6.0192E+00  2.0423E+00
  0.100  1.1497E+01  4.4205E-03 -1.5396E+01  1.048E+00  6.0260E+00  2.0446E+00
  0.200  1.1495E+01  8.7028E-03 -1.6618E+01  1.049E+00  6.0464E+00  2.0516E+00
  0.300  1.1491E+01  1.2719E-02 -1.7781E+01  1.050E+00  6.0796E+00  2.0632E+00
  0.400  1.1486E+01  1.6363E-02 -1.8886E+01  1.051E+00  6.1247E+00  2.0793E+00
  0.500  1.1479E+01  1.9546E-02 -1.9935E+01  1.053E+00  6.1803E+00  2.0998E+00
  0.600  1.1470E+01  2.2231E-02 -2.0932E+01  1.054E+00  6.2445E+00  2.1247E+00
  0.700  1.1460E+01  2.4394E-02 -2.1879E+01  1.056E+00  6.3154E+00  2.1538E+00
  0.800  1.1447E+01  2.6046E-02 -2.2779E+01  1.058E+00  6.3907E+00  2.1869E+00
  0.900  1.1433E+01  2.7225E-02 -2.3636E+01  1.060E+00  6.4679E+00  2.2240E+00
  1.000  1.1417E+01  2.7991E-02 -2.4452E+01  1.062E+00  6.5446E+00  2.2649E+00
  1.100  1.1399E+01  2.8422E-02 -2.5230E+01  1.064E+00  6.6182E+00  2.3095E+00
  1.200  1.1379E+01  2.8613E-02 -2.5974E+01  1.066E+00  6.6864E+00  2.3576E+00
  1.300  1.1357E+01  2.8678E-02 -2.6686E+01  1.067E+00  6.7472E+00  2.4092E+00
  1.400  1.1333E+01  2.8742E-02 -2.7368E+01  1.069E+00  6.7991E+00  2.4642E+00
  1.500  1.1307E+01  2.8949E-02 -2.8021E+01  1.071E+00  6.8409E+00  2.5224E+00
  1.600  1.1279E+01  2.9449E-02 -2.8644E+01  1.073E+00  6.8725E+00  2.5840E+00
  1.700  1.1250E+01  3.0387E-02 -2.9234E+01  1.074E+00  6.8944E+00  2.6488E+00
