PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2  12.000  index, nleg, degeneracy, r=  2.7741
      x           y           z     ipot  label      rleg      beta        eta
   -1.961550    0.000000   -1.961550   1 'Pt    '     2.7741  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  180.0000    0.0000
     2    2   6.000  index, nleg, degeneracy, r=  3.9231
      x           y           z     ipot  label      rleg      beta        eta
    3.923100    0.000000    0.000000   1 'Pt    '     3.9231  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     3.9231  180.0000    0.0000
     3    3  48.000  index, nleg, degeneracy, r=  4.1611
      x           y           z     ipot  label      rleg      beta        eta
    1.961550    0.000000   -1.961550   1 'Pt    '     2.7741  120.0000    0.0000
    1.961550    1.961550    0.000000   1 'Pt    '     2.7741  120.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  120.0000    0.0000
     4    3  48.000  index, nleg, degeneracy, r=  4.7356
      x           y           z     ipot  label      rleg      beta        eta
    3.923100    0.000000    0.000000   1 'Pt    '     3.9231  135.0000    0.0000
    1.961550    0.000000   -1.961550   1 'Pt    '     2.7741   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  135.0000    0.0000
     5    2  24.000  index, nleg, degeneracy, r=  4.8048
      x           y           z     ipot  label      rleg      beta        eta
    3.923100   -1.961550   -1.961550   1 'Pt    '     4.8048  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     4.8048  180.0000    0.0000
     6    3  48.000  index, nleg, degeneracy, r=  5.1764
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -1.961550   -1.961550   1 'Pt    '     2.7741  150.0000    0.0000
    1.961550    0.000000    1.961550   1 'Pt    '     4.8048  150.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741   60.0000    0.0000
     7    3  96.000  index, nleg, degeneracy, r=  5.1764
      x           y           z     ipot  label      rleg      beta        eta
    1.961550   -3.923100    1.961550   1 'Pt    '     4.8048  150.0000    0.0000
    1.961550   -1.961550    0.000000   1 'Pt    '     2.7741   60.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  150.0000    0.0000
     8    2  12.000  index, nleg, degeneracy, r=  5.5481
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -3.923100   -3.923100   1 'Pt    '     5.5481  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     5.5481  180.0000    0.0000
     9    3  12.000  index, nleg, degeneracy, r=  5.5481
      x           y           z     ipot  label      rleg      beta        eta
    1.961550   -1.961550    0.000000   1 'Pt    '     2.7741  180.0000    0.0000
   -1.961550    1.961550    0.000000   1 'Pt    '     5.5481  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741    0.0000    0.0000
    10    3  24.000  index, nleg, degeneracy, r=  5.5481
      x           y           z     ipot  label      rleg      beta        eta
   -3.923100    3.923100    0.000000   1 'Pt    '     5.5481  180.0000    0.0000
   -1.961550    1.961550    0.000000   1 'Pt    '     2.7741    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  180.0000    0.0000
    11    4  12.000  index, nleg, degeneracy, r=  5.5481
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    1.961550   -1.961550   1 'Pt    '     2.7741  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741    0.0000    0.0000
   -0.000000   -1.961550    1.961550   1 'Pt    '     2.7741  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741    0.0000    0.0000
    12    4  12.000  index, nleg, degeneracy, r=  5.5481
      x           y           z     ipot  label      rleg      beta        eta
   -1.961550    0.000000    1.961550   1 'Pt    '     2.7741  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  180.0000    0.0000
   -1.961550    0.000000    1.961550   1 'Pt    '     2.7741  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  180.0000    0.0000
    13    4  48.000  index, nleg, degeneracy, r=  5.5481
      x           y           z     ipot  label      rleg      beta        eta
    1.961550    1.961550    0.000000   1 'Pt    '     2.7741  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741   60.0000    0.0000
   -0.000000   -1.961550   -1.961550   1 'Pt    '     2.7741  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741   60.0000    0.0000
    14    4  12.000  index, nleg, degeneracy, r=  5.5481
      x           y           z     ipot  label      rleg      beta        eta
    1.961550    1.961550    0.000000   1 'Pt    '     2.7741    0.0000    0.0000
    3.923100    3.923100    0.000000   1 'Pt    '     2.7741  180.0000    0.0000
    1.961550    1.961550    0.000000   1 'Pt    '     2.7741    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  180.0000    0.0000
    15    4  48.000  index, nleg, degeneracy, r=  5.5481
      x           y           z     ipot  label      rleg      beta        eta
    1.961550    0.000000   -1.961550   1 'Pt    '     2.7741  120.0000    0.0000
   -0.000000   -1.961550   -1.961550   1 'Pt    '     2.7741  180.0000    0.0000
    1.961550    0.000000   -1.961550   1 'Pt    '     2.7741  120.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  180.0000    0.0000
    16    4  48.000  index, nleg, degeneracy, r=  5.5481
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -1.961550   -1.961550   1 'Pt    '     2.7741   60.0000    0.0000
    1.961550   -3.923100   -1.961550   1 'Pt    '     2.7741  180.0000    0.0000
   -0.000000   -1.961550   -1.961550   1 'Pt    '     2.7741   60.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  180.0000    0.0000
    17    4  48.000  index, nleg, degeneracy, r=  5.5481
      x           y           z     ipot  label      rleg      beta        eta
   -1.961550   -1.961550   -0.000000   1 'Pt    '     2.7741  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  120.0000    0.0000
   -0.000000   -1.961550    1.961550   1 'Pt    '     2.7741  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  120.0000    0.0000
    18    3  48.000  index, nleg, degeneracy, r=  5.7510
      x           y           z     ipot  label      rleg      beta        eta
   -1.961550    1.961550   -3.923100   1 'Pt    '     4.8048  125.2644    0.0000
   -0.000000    0.000000   -3.923100   1 'Pt    '     2.7741   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     3.9231  144.7356    0.0000
    19    2  24.000  index, nleg, degeneracy, r=  6.2030
      x           y           z     ipot  label      rleg      beta        eta
    5.884650   -1.961550    0.000000   1 'Pt    '     6.2030  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     6.2030  180.0000    0.0000
    20    3  48.000  index, nleg, degeneracy, r=  6.4501
      x           y           z     ipot  label      rleg      beta        eta
    3.923100    0.000000    0.000000   1 'Pt    '     3.9231  161.5651    0.0000
   -1.961550    0.000000    1.961550   1 'Pt    '     6.2030  153.4349    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741   45.0000    0.0000
    21    3  48.000  index, nleg, degeneracy, r=  6.4501
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    1.961550    5.884650   1 'Pt    '     6.2030  161.5651    0.0000
    0.000000    1.961550    1.961550   1 'Pt    '     3.9231   45.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  153.4349    0.0000
    22    3  48.000  index, nleg, degeneracy, r=  6.4501
      x           y           z     ipot  label      rleg      beta        eta
   -1.961550   -5.884650   -0.000000   1 'Pt    '     6.2030  153.4350    0.0000
   -0.000000   -3.923100   -0.000000   1 'Pt    '     2.7741   45.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     3.9231  161.5651    0.0000
    23    3  96.000  index, nleg, degeneracy, r=  6.5635
      x           y           z     ipot  label      rleg      beta        eta
    3.923100   -3.923100    0.000000   1 'Pt    '     5.5481  120.0000    0.0000
    3.923100   -1.961550    1.961550   1 'Pt    '     2.7741   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     4.8048  150.0000    0.0000
    24    4  96.000  index, nleg, degeneracy, r=  6.5635
      x           y           z     ipot  label      rleg      beta        eta
   -3.923100    1.961550   -1.961550   1 'Pt    '     4.8048   90.0000    0.0000
   -3.923100    3.923100    0.000000   1 'Pt    '     2.7741  120.0000    0.0000
   -1.961550    1.961550    0.000000   1 'Pt    '     2.7741    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  150.0000    0.0000
    25    4  96.000  index, nleg, degeneracy, r=  6.5635
      x           y           z     ipot  label      rleg      beta        eta
    1.961550   -1.961550    0.000000   1 'Pt    '     2.7741    0.0000    0.0000
    3.923100   -3.923100    0.000000   1 'Pt    '     2.7741  150.0000    0.0000
   -0.000000   -1.961550    1.961550   1 'Pt    '     4.8048   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  120.0000    0.0000
    26    4  48.000  index, nleg, degeneracy, r=  6.6972
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -3.923100   -0.000000   1 'Pt    '     3.9231  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     3.9231   45.0000    0.0000
    0.000000    1.961550    1.961550   1 'Pt    '     2.7741  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741   45.0000    0.0000
    27    4  48.000  index, nleg, degeneracy, r=  6.6972
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    3.923100    0.000000   1 'Pt    '     3.9231   90.0000    0.0000
    0.000000    3.923100   -3.923100   1 'Pt    '     3.9231  135.0000    0.0000
    0.000000    1.961550   -1.961550   1 'Pt    '     2.7741    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     2.7741  135.0000    0.0000
    28    2   8.000  index, nleg, degeneracy, r=  6.7950
      x           y           z     ipot  label      rleg      beta        eta
   -3.923100    3.923100   -3.923100   1 'Pt    '     6.7950  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pt    '     6.7950  180.0000    0.0000
