 Pd                                             Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=46 Rmt= 1.523 Rnm= 1.569 K  shell
 Pot 1 Z=46 Rmt= 1.467 Rnm= 1.504
 Gam_ch=7.677E+00 H-L exch
 Mu= 2.525E-02 kf=1.785E+00 Vint=-1.211E+01 Rs_int= 2.032
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    5      icalc       2
 -----------------------------------------------------------------------
   2  24.000   4.7977    2.8449    0.02525 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  46 Pd       absorbing atom
  1.100  9.3889E+00  5.5202E-01 -1.8631E+01  1.119E+00  4.0691E+00  2.1025E+00
  1.200  9.3623E+00  5.7277E-01 -1.9098E+01  1.127E+00  4.1339E+00  2.1557E+00
  1.300  9.3316E+00  5.8849E-01 -1.9528E+01  1.136E+00  4.1967E+00  2.2127E+00
  1.400  9.2961E+00  5.9928E-01 -1.9921E+01  1.145E+00  4.2567E+00  2.2734E+00
  1.500  9.2555E+00  6.0524E-01 -2.0276E+01  1.155E+00  4.3135E+00  2.3379E+00
  1.600  9.2091E+00  6.0641E-01 -2.0593E+01  1.165E+00  4.3674E+00  2.4061E+00
  1.700  9.1562E+00  6.0280E-01 -2.0868E+01  1.176E+00  4.4193E+00  2.4782E+00
  1.800  9.0962E+00  5.9451E-01 -2.1099E+01  1.185E+00  4.4710E+00  2.5541E+00
  1.900  9.0283E+00  5.8176E-01 -2.1282E+01  1.194E+00  4.5252E+00  2.6341E+00
  2.000  8.9530E+00  5.6483E-01 -2.1411E+01  1.202E+00  4.5860E+00  2.7184E+00
  2.200  8.7335E+00  5.0287E-01 -2.1397E+01  1.214E+00  4.6106E+00  2.9165E+00
  2.400  8.6078E+00  5.1997E-01 -2.1650E+01  1.436E+00  3.6726E+00  3.0804E+00
  2.600  8.5822E+00  5.3613E-01 -2.2054E+01  1.499E+00  3.4607E+00  3.2102E+00
  2.800  8.5239E+00  5.8100E-01 -2.2302E+01  1.522E+00  3.3763E+00  3.3509E+00
  3.000  8.4447E+00  6.5635E-01 -2.2462E+01  1.514E+00  3.3696E+00  3.4985E+00
  3.200  8.3531E+00  7.6153E-01 -2.2595E+01  1.490E+00  3.4099E+00  3.6521E+00
  3.400  8.2490E+00  8.7087E-01 -2.2713E+01  1.456E+00  3.4822E+00  3.8111E+00
  3.600  8.1367E+00  9.5582E-01 -2.2821E+01  1.424E+00  3.5780E+00  3.9749E+00
  3.800  8.0201E+00  1.0102E+00 -2.2921E+01  1.383E+00  3.6923E+00  4.1429E+00
  4.000  7.8978E+00  1.0220E+00 -2.3004E+01  1.347E+00  3.8213E+00  4.3145E+00
  4.200  7.7739E+00  9.9990E-01 -2.3074E+01  1.313E+00  3.9625E+00  4.4894E+00
  4.400  7.6479E+00  9.5113E-01 -2.3130E+01  1.281E+00  4.1142E+00  4.6672E+00
  4.600  7.5199E+00  8.8103E-01 -2.3166E+01  1.251E+00  4.2749E+00  4.8473E+00
  4.800  7.3916E+00  8.0079E-01 -2.3187E+01  1.225E+00  4.4435E+00  5.0296E+00
  5.000  7.2625E+00  7.1812E-01 -2.3186E+01  1.199E+00  4.6191E+00  5.2138E+00
  5.200  7.1336E+00  6.3851E-01 -2.3163E+01  1.175E+00  4.8010E+00  5.3996E+00
  5.400  7.0048E+00  5.6696E-01 -2.3111E+01  1.155E+00  4.9886E+00  5.5868E+00
  5.600  6.8768E+00  5.0858E-01 -2.3029E+01  1.134E+00  5.1814E+00  5.7752E+00
  5.800  6.7502E+00  4.6534E-01 -2.2916E+01  1.116E+00  5.3790E+00  5.9648E+00
  6.000  6.6253E+00  4.4167E-01 -2.2784E+01  1.100E+00  5.5810E+00  6.1553E+00
  6.500  6.3237E+00  4.5457E-01 -2.2474E+01  1.066E+00  6.1034E+00  6.6351E+00
  7.000  6.0395E+00  5.1914E-01 -2.2314E+01  1.041E+00  6.6478E+00  7.1189E+00
  7.500  5.7629E+00  5.8547E-01 -2.2284E+01  1.016E+00  7.2112E+00  7.6056E+00
  8.000  5.4928E+00  6.3896E-01 -2.2323E+01  9.948E-01  7.7914E+00  8.0947E+00
  8.500  5.2292E+00  6.7537E-01 -2.2393E+01  9.773E-01  8.3868E+00  8.5856E+00
  9.000  4.9770E+00  6.9330E-01 -2.2480E+01  9.635E-01  8.9959E+00  9.0778E+00
  9.500  4.7365E+00  6.9574E-01 -2.2578E+01  9.536E-01  9.6176E+00  9.5712E+00
 10.000  4.5058E+00  6.8812E-01 -2.2681E+01  9.463E-01  1.0251E+01  1.0066E+01
 11.000  4.0688E+00  6.5293E-01 -2.2895E+01  9.358E-01  1.1549E+01  1.1056E+01
 12.000  3.6668E+00  6.0001E-01 -2.3113E+01  9.296E-01  1.2885E+01  1.2049E+01
 13.000  3.2940E+00  5.4316E-01 -2.3328E+01  9.268E-01  1.4254E+01  1.3043E+01
 14.000  2.9468E+00  4.8564E-01 -2.3542E+01  9.251E-01  1.5652E+01  1.4039E+01
 15.000  2.6244E+00  4.3244E-01 -2.3756E+01  9.250E-01  1.7078E+01  1.5035E+01
 16.000  2.3226E+00  3.8300E-01 -2.3973E+01  9.250E-01  1.8528E+01  1.6032E+01
 17.000  2.0404E+00  3.3817E-01 -2.4191E+01  9.250E-01  2.0000E+01  1.7029E+01
 18.000  1.7736E+00  2.9783E-01 -2.4407E+01  9.246E-01  2.1493E+01  1.8027E+01
 19.000  1.5216E+00  2.6262E-01 -2.4625E+01  9.242E-01  2.3005E+01  1.9025E+01
 20.000  1.2824E+00  2.3159E-01 -2.4845E+01  9.244E-01  2.4535E+01  2.0023E+01
