 Pd                                             Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=46 Rmt= 1.523 Rnm= 1.569 K  shell
 Pot 1 Z=46 Rmt= 1.467 Rnm= 1.504
 Gam_ch=7.677E+00 H-L exch
 Mu= 2.525E-02 kf=1.785E+00 Vint=-1.211E+01 Rs_int= 2.032
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    5      icalc       2
 -----------------------------------------------------------------------
   2  24.000   4.7977    2.8449    0.02525 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  46 Pd       absorbing atom
    -1.9586    3.9173    1.9586  1  46 Pd
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  9.5010E+00  5.2962E-06 -1.0827E+01  1.071E+00  3.5856E+00  1.8063E+00
  0.100  9.5003E+00  6.7156E-02 -1.1763E+01  1.071E+00  3.5907E+00  1.8089E+00
  0.200  9.4980E+00  1.3326E-01 -1.2649E+01  1.073E+00  3.6060E+00  1.8167E+00
  0.300  9.4943E+00  1.9730E-01 -1.3488E+01  1.075E+00  3.6312E+00  1.8296E+00
  0.400  9.4889E+00  2.5832E-01 -1.4280E+01  1.078E+00  3.6655E+00  1.8475E+00
  0.500  9.4817E+00  3.1548E-01 -1.5027E+01  1.081E+00  3.7081E+00  1.8704E+00
  0.600  9.4726E+00  3.6812E-01 -1.5729E+01  1.086E+00  3.7579E+00  1.8980E+00
  0.700  9.4613E+00  4.1571E-01 -1.6389E+01  1.091E+00  3.8137E+00  1.9303E+00
  0.800  9.4475E+00  4.5796E-01 -1.7007E+01  1.097E+00  3.8742E+00  1.9670E+00
  0.900  9.4311E+00  4.9474E-01 -1.7587E+01  1.104E+00  3.9379E+00  2.0081E+00
  1.000  9.4117E+00  5.2606E-01 -1.8128E+01  1.111E+00  4.0033E+00  2.0533E+00
