PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2  12.000  index, nleg, degeneracy, r=  2.7699
      x           y           z     ipot  label      rleg      beta        eta
    1.958650    0.000000   -1.958650   1 'Pd    '     2.7699  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pd    '     2.7699  180.0000    0.0000
     2    2   6.000  index, nleg, degeneracy, r=  3.9173
      x           y           z     ipot  label      rleg      beta        eta
   -3.917300    0.000000    0.000000   1 'Pd    '     3.9173  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pd    '     3.9173  180.0000    0.0000
     3    3  48.000  index, nleg, degeneracy, r=  4.1549
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    1.958650   -1.958650   1 'Pd    '     2.7699  120.0000    0.0000
    1.958650    0.000000   -1.958650   1 'Pd    '     2.7699  120.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pd    '     2.7699  120.0000    0.0000
     4    3  48.000  index, nleg, degeneracy, r=  4.7286
      x           y           z     ipot  label      rleg      beta        eta
    0.000000   -3.917300    0.000000   1 'Pd    '     3.9173  135.0000    0.0000
    0.000000   -1.958650    1.958650   1 'Pd    '     2.7699   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pd    '     2.7699  135.0000    0.0000
     5    2  24.000  index, nleg, degeneracy, r=  4.7977
      x           y           z     ipot  label      rleg      beta        eta
   -1.958650    3.917300    1.958650   1 'Pd    '     4.7977  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Pd    '     4.7977  180.0000    0.0000
