 Pd                                             Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=46 Rmt= 1.523 Rnm= 1.569 K  shell
 Pot 1 Z=46 Rmt= 1.467 Rnm= 1.504
 Gam_ch=7.677E+00 H-L exch
 Mu= 2.525E-02 kf=1.785E+00 Vint=-1.211E+01 Rs_int= 2.032
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    2      icalc       2
 -----------------------------------------------------------------------
   2   6.000   3.9173    2.8449    0.02525 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  46 Pd       absorbing atom
    -3.9173   -0.0000   -0.0000  1  46 Pd
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  1.800  9.0962E+00  5.3823E-01 -1.5981E+01  1.185E+00  4.4710E+00  2.5541E+00
  1.900  9.0283E+00  5.2398E-01 -1.6127E+01  1.194E+00  4.5252E+00  2.6341E+00
  2.000  8.9530E+00  5.0625E-01 -1.6224E+01  1.202E+00  4.5860E+00  2.7184E+00
  2.200  8.7335E+00  4.4746E-01 -1.6190E+01  1.214E+00  4.6106E+00  2.9165E+00
  2.400  8.6078E+00  4.6338E-01 -1.6350E+01  1.436E+00  3.6726E+00  3.0804E+00
  2.600  8.5822E+00  4.8533E-01 -1.6603E+01  1.499E+00  3.4607E+00  3.2102E+00
  2.800  8.5239E+00  5.4553E-01 -1.6737E+01  1.522E+00  3.3763E+00  3.3509E+00
  3.000  8.4447E+00  6.3885E-01 -1.6817E+01  1.514E+00  3.3696E+00  3.4985E+00
  3.200  8.3531E+00  7.5598E-01 -1.6896E+01  1.490E+00  3.4099E+00  3.6521E+00
  3.400  8.2490E+00  8.7005E-01 -1.6967E+01  1.456E+00  3.4822E+00  3.8111E+00
  3.600  8.1367E+00  9.5237E-01 -1.7033E+01  1.424E+00  3.5780E+00  3.9749E+00
  3.800  8.0201E+00  1.0001E+00 -1.7094E+01  1.383E+00  3.6923E+00  4.1429E+00
  4.000  7.8978E+00  1.0033E+00 -1.7139E+01  1.347E+00  3.8213E+00  4.3145E+00
  4.200  7.7739E+00  9.7273E-01 -1.7174E+01  1.313E+00  3.9625E+00  4.4894E+00
  4.400  7.6479E+00  9.1643E-01 -1.7196E+01  1.281E+00  4.1142E+00  4.6672E+00
  4.600  7.5199E+00  8.4081E-01 -1.7201E+01  1.251E+00  4.2749E+00  4.8473E+00
  4.800  7.3916E+00  7.5685E-01 -1.7190E+01  1.225E+00  4.4435E+00  5.0296E+00
  5.000  7.2625E+00  6.7257E-01 -1.7159E+01  1.199E+00  4.6191E+00  5.2138E+00
  5.200  7.1336E+00  5.9331E-01 -1.7103E+01  1.175E+00  4.8010E+00  5.3996E+00
  5.400  7.0048E+00  5.2427E-01 -1.7018E+01  1.155E+00  4.9886E+00  5.5868E+00
  5.600  6.8768E+00  4.7060E-01 -1.6901E+01  1.134E+00  5.1814E+00  5.7752E+00
  5.800  6.7502E+00  4.3440E-01 -1.6754E+01  1.116E+00  5.3790E+00  5.9648E+00
  6.000  6.6253E+00  4.1928E-01 -1.6596E+01  1.100E+00  5.5810E+00  6.1553E+00
  6.500  6.3237E+00  4.5194E-01 -1.6261E+01  1.066E+00  6.1034E+00  6.6351E+00
  7.000  6.0395E+00  5.2553E-01 -1.6105E+01  1.041E+00  6.6478E+00  7.1189E+00
  7.500  5.7629E+00  5.9352E-01 -1.6078E+01  1.016E+00  7.2112E+00  7.6056E+00
  8.000  5.4928E+00  6.4573E-01 -1.6115E+01  9.948E-01  7.7914E+00  8.0947E+00
  8.500  5.2292E+00  6.7991E-01 -1.6182E+01  9.773E-01  8.3868E+00  8.5856E+00
  9.000  4.9770E+00  6.9553E-01 -1.6266E+01  9.635E-01  8.9959E+00  9.0778E+00
  9.500  4.7365E+00  6.9607E-01 -1.6360E+01  9.536E-01  9.6176E+00  9.5712E+00
 10.000  4.5058E+00  6.8702E-01 -1.6459E+01  9.463E-01  1.0251E+01  1.0066E+01
 11.000  4.0688E+00  6.4988E-01 -1.6666E+01  9.358E-01  1.1549E+01  1.1056E+01
 12.000  3.6668E+00  5.9602E-01 -1.6878E+01  9.296E-01  1.2885E+01  1.2049E+01
 13.000  3.2940E+00  5.3876E-01 -1.7088E+01  9.268E-01  1.4254E+01  1.3043E+01
 14.000  2.9468E+00  4.8143E-01 -1.7295E+01  9.251E-01  1.5652E+01  1.4039E+01
 15.000  2.6244E+00  4.3009E-01 -1.7499E+01  9.250E-01  1.7078E+01  1.5035E+01
 16.000  2.3226E+00  3.8493E-01 -1.7703E+01  9.250E-01  1.8528E+01  1.6032E+01
 17.000  2.0404E+00  3.4514E-01 -1.7909E+01  9.250E-01  2.0000E+01  1.7029E+01
 18.000  1.7736E+00  3.0904E-01 -1.8115E+01  9.246E-01  2.1493E+01  1.8027E+01
 19.000  1.5216E+00  2.7800E-01 -1.8323E+01  9.242E-01  2.3005E+01  1.9025E+01
 20.000  1.2824E+00  2.5119E-01 -1.8533E+01  9.244E-01  2.4535E+01  2.0023E+01
